Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MainPageTest,Edge Chromium 124,,,11-05-2024 13:50:38,11-05-2024 13:51:10,31.208s,PASSED
,,,,,,,
Test Cases/functional/main_page,Edge Chromium 124,,,11-05-2024 13:50:57,11-05-2024 13:51:10,12.311s,PASSED
"openBrowser("""")",Edge Chromium 124,,,11-05-2024 13:50:57,11-05-2024 13:50:59,1.317s,PASSED
"navigateToUrl(""https://qr-web-h1fi.onrender.com/"")",Edge Chromium 124,,,11-05-2024 13:50:59,11-05-2024 13:51:02,3.037s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/a_Home (current)""))",Edge Chromium 124,,,11-05-2024 13:51:02,11-05-2024 13:51:03,1.063s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/a_Learn More""))",Edge Chromium 124,,,11-05-2024 13:51:03,11-05-2024 13:51:03,0.530s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/a_About""))",Edge Chromium 124,,,11-05-2024 13:51:03,11-05-2024 13:51:04,0.565s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/a_Pricing""))",Edge Chromium 124,,,11-05-2024 13:51:04,11-05-2024 13:51:04,0.461s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/a_Contact""))",Edge Chromium 124,,,11-05-2024 13:51:04,11-05-2024 13:51:05,0.571s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/h3_Contact Us""))",Edge Chromium 124,,,11-05-2024 13:51:05,11-05-2024 13:51:05,0.523s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/figure_Student g. 50, Kaunas, Lithuania""))",Edge Chromium 124,,,11-05-2024 13:51:05,11-05-2024 13:51:06,0.409s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/a_About""))",Edge Chromium 124,,,11-05-2024 13:51:06,11-05-2024 13:51:06,0.416s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/h2_What Is QRWeb""))",Edge Chromium 124,,,11-05-2024 13:51:06,11-05-2024 13:51:07,0.428s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/a_Pricing""))",Edge Chromium 124,,,11-05-2024 13:51:07,11-05-2024 13:51:07,0.419s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/h2_Affordable Prices""))",Edge Chromium 124,,,11-05-2024 13:51:07,11-05-2024 13:51:07,0.393s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/h2_Our Clients""))",Edge Chromium 124,,,11-05-2024 13:51:07,11-05-2024 13:51:08,0.429s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/h2_Our Team""))",Edge Chromium 124,,,11-05-2024 13:51:08,11-05-2024 13:51:08,0.400s,PASSED
"click(findTestObject(""Object Repository/Page_QRWeb/a_Log in""))",Edge Chromium 124,,,11-05-2024 13:51:08,11-05-2024 13:51:10,1.291s,PASSED
